,Summer Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
2441,I Have Nothing, Whitney Houston,spotify:track:31er9IGsfFbwqy1pH4aiTP,1993,0.54,0.401,0.576,0.24,152.974,0
2442,Hip Hop Hooray, Naughty By Nature,spotify:track:1w29UTa5uUvIri2tWtZ12Y,1993,0.862,0.642,0.102,0.765,99.201,0
2443,Love No Limit, Mary J. Blige,spotify:track:7gEGhEb1VcCeC6lJWnjI9Z,1993,0.547,0.693,0.172,0.603,169.659,0.00269
2444,A Bad Goodbye, Clint Black With Wynonna,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2445,Hero, David Crosby & Phil Collins,spotify:track:4hjuVoySlMOYuJGgSUlgZV,1993,0.684,0.362,0.575,0.495,104.816,0.303
2446,Baby Im Yours, Shai,spotify:track:3xSu3S8v206qwhob9N2LGJ,1993,0.467,0.577,0.21,0.609,143.625,1.86e-05
2447,Im Gonna Get You, Bizarre Inc,spotify:track:7MfZ9GpIwgexz22lOHIP4y,1993,0.746,0.808,0.0218,0.754,126.946,0.714
2448,Dedicated, R. Kelly & Public Announcement,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2449,Who Is It, Michael Jackson,spotify:track:4HWcWgleTuUAWnVPNwW4CM,1993,0.862,0.595,0.0152,0.502,103.168,0.000343
2450,Six Feet Deep, Geto Boys,spotify:track:7fOa2YngldFhZpkPpQVwpb,1993,0.811,0.502,0.0778,0.759,137.81,0.00952
2451,Informer, Snow,spotify:track:2LjiPAQOVazT8sRyXL3XRs,1993,0.762,0.836,0.045,0.421,98.16,0
2452,One Last Cry, Brian McKnight,spotify:track:3l9OCOG3Vt6c2lxeMyGSIY,1993,0.261,0.14,0.912,0.0984,71.251,0.00028
2453,Passin Me By, The Pharcyde,spotify:track:4G3dZN9o3o2X4VKwt4CLts,1993,0.759,0.747,0.0876,0.613,87.029,1.8e-06
2454,Nothin My Love Cant Fix, Joey Lawrence,spotify:track:2ChuQXRBDEpG4XqiKFSaic,1993,0.781,0.358,0.0174,0.875,105.995,0.909
2455,Fields Of Gold, Sting,spotify:track:5Y9Hqg5Z3EHUDDwd54FDQb,1993,0.649,0.308,0.359,0.341,103.975,0.0443
2456,Runaway Train, Soul Asylum,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,1993,0.613,0.72,0.0132,0.561,117.341,0
2457,Back Seat (Of My Jeep), LL Cool J,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2458,Somebody To Love, George Michael & Queen,spotify:track:1kn8Jj0i9IwyO3yDgDyUSR,1993,0.333,0.863,0.0518,0.384,110.162,0
2459,The Floor, Johnny Gill,spotify:track:2QB1D9DD0EsC0wzktRmM2z,1993,0.798,0.797,0.00813,0.459,115.412,0.0418
2460,Somethings Goin On, U.N.V.,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2461,One Woman, Jade,spotify:track:0EnFaSWSkj45lktHxHtcXb,1993,0.662,0.605,0.0552,0.545,151.946,0
2462,Touch My Light, Big Mountain,spotify:track:4JfwY47pEF4y5BJDCPoVGP,1993,0.568,0.657,0.00543,0.5,149.639,0.000445
2463,Good Times With Bad Boys, Boy Krazy,spotify:track:5xJFlU6POW87nEqmGMrN1c,1993,0.657,0.936,0.444,0.761,130.171,9.99e-05
2464,ABC-123, Levert,spotify:track:3msTYr3qkU0vN4Rb9J8zUU,1993,0.746,0.437,0.183,0.394,147.819,0
2465,If I Could, Regina Belle,spotify:track:0x23ASdVCzUDBe9pIx4JPj,1993,0.289,0.602,0.286,0.111,73.604,0
2466,Down With The King, Run-D.M.C.,spotify:track:2oSPru8bef0EMhF9tvMSLn,1993,0.786,0.637,0.07,0.762,96.023,1.31e-05
2467,Deeper, Boss,spotify:track:6PZ4laM20qkvIrgji3NLsK,1993,0.592,0.847,0.0564,0.653,83.324,0
2468,Cry No More, II D Extreme,spotify:track:307S2NNAIrTAfkrxsOIbQw,1993,0.675,0.472,0.208,0.567,130.033,0
2469,Cats In The Cradle, Ugly Kid Joe,spotify:track:5x9RZg7HfXGY3JayXL3seF,1993,0.443,0.527,0.129,0.469,152.025,0
2470,Girl U For Me/Lose Control, Silk,spotify:track:0EcFzZUKTQysjIxMvAtemq,1993,0.633,0.61,0.09,0.51,121.128,0
2471,I Love The Way You Love Me, John Michael Montgomery,spotify:track:6MnDkyb3VstTCT9ELxjfeE,1993,0.447,0.319,0.63,0.246,162.109,1.35e-06
2472,Little Miracles (Happen Every Day), Luther Vandross,spotify:track:4vgxvqlt55AJHhUxMIUgJA,1993,0.66,0.464,0.355,0.233,122.021,0
2473,Love Dont Love You, En Vogue,spotify:track:539OFwg53sCwJAxQ1gV7qX,1993,0.832,0.643,0.138,0.779,107.964,7.68e-05
2474,Dur Dur Detre BeBe! (Its Tough To Be A Baby), Jordy,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2475,Walking In My Shoes, Depeche Mode,spotify:track:0VokHXtSNOpnlMWDMT9kPD,1993,0.535,0.702,0.0888,0.483,93.083,8.54e-06
2476,So Alone, Men At Large,spotify:track:39SV8I6A8knhMZ2yv1LUnM,1993,0.629,0.364,0.0754,0.471,122.083,0
2477,Dont Take Away My Heaven, Aaron Neville,spotify:track:35GxBLcKPJwM7WS79I4fWP,1993,0.577,0.714,0.349,0.62,187.23,2.62e-06
2478,If I Ever Lose My Faith In You, Sting,spotify:track:4u8QNalxYQISgG3z5TN5uP,1993,0.589,0.697,0.00979,0.524,97.97,0.00723
2479,"The Crying Game (From ""The Crying Game"")", Boy George,spotify:track:1hU4NqKCNkZqMyqNKvux0E,1993,0.584,0.668,0.0737,0.544,100.036,0.0134
2480,Tap The Bottle, Young Black Teenagers,spotify:track:1tqpUCOGNVjUOKvOqxChRb,1993,0.892,0.611,0.00118,0.586,104.012,0
2481,Sweet Thing, Mary J. Blige,spotify:track:3X3XuCPTC95ARm9SguWsIa,1993,0.669,0.662,0.335,0.675,158.461,5.55e-05
2482,Run To You, Whitney Houston,spotify:track:6M1M6cRtVkm5d0qTzkSEuK,1993,0.372,0.363,0.632,0.145,77.079,0
2483,"Lets Go Through The Motions (From ""Whos The Man?"")", Jodeci,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2484,Humps For The Blvd., Rodney O & Joe Cooley,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2485,Alibis, Tracy Lawrence,spotify:track:2TPm21kwmgRhx3kJfJmdrB,1993,0.627,0.469,0.398,0.367,107.484,0
2486,Every Little Thing U Do, Christopher Williams,spotify:track:6g9wUkxTf1MkfURIFHNTSK,1993,0.672,0.649,0.071,0.411,98.159,0.00105
2487,Voice Of Freedom, Freedom Williams,spotify:track:4vXwQURNcbGwlFXmXqFiDD,1993,0.421,0.42,0.647,0.659,89.537,0.222
2488,Love U More, Sunscreem,spotify:track:0JjMXxzPJ221NcAO3GmFdj,1993,0.602,0.821,0.191,0.493,126.085,0
2489,Im Free, Jon Secada,spotify:track:2UfAxAPFNHkpArkEhBbyd4,1993,0.52,0.634,0.133,0.478,197.315,0
2490,Do Da What, 1 Of The Girls,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2491,Creep, Radiohead,spotify:track:6b2oQwSGFkzsMtQruIWm2p,1993,0.515,0.43,0.0102,0.104,91.841,0.000141
2492,Shouldve Been A Cowboy, Toby Keith,spotify:track:69ku805AjIcFQh0IfkGohf,1993,0.619,0.672,0.471,0.694,133.402,3.15e-06
2493,Its My Life, Dr. Alban,spotify:track:6HdM7gzXVgcpepv276raog,1993,0.655,0.933,0.00332,0.472,128.701,0.0365
2494,Typical Reasons (Swing My Way), Prince Markie Dee And The Soul Convention,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2495,Its On, Naughty By Nature,spotify:track:3lanCLtaKrSkKzMuiS2HNF,1993,0.85,0.424,0.0126,0.502,103.028,0.000498
2496,I Should Be Laughing, Patty Smyth,spotify:track:3tJFi9WLf1qtkPXumt9THq,1993,0.462,0.48,0.296,0.296,171.116,0
2497,Supermodel (You Better Work), RuPaul,spotify:track:1AAwAM9IjTlvi8x10kc2I1,1993,0.792,0.562,0.0152,0.592,126.222,7.48e-05
2498,"Almost Unreal (From ""Super Mario Bros."")", Roxette,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2499,Falling In Love, New Born,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2500,Ill Be There, Mariah Carey,spotify:track:5jI2ApByK8KJeWVU39oRO4,1992,0.404,0.511,0.716,0.279,82.025,0
2501,Baby Got Back, Sir Mix-A-Lot,spotify:track:28yT0sZlkqStSByo1j58J4,1992,0.936,0.76,0.00391,0.657,128.479,3.39e-06
2502,Jump, Kris Kross,spotify:track:27AHAtAirQapVldIm4c9ZX,1992,0.749,0.745,0.000501,0.481,101.972,0.00403
2503,Under The Bridge, Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,1992,0.559,0.345,0.0576,0.458,84.581,0.000105
2504,My Lovin (Youre Never Gonna Get It), En Vogue,spotify:track:3R97rNX7JnmshCWBwOSFet,1992,0.767,0.839,0.0318,0.461,98.055,9.31e-06
2505,Damn I Wish I Was Your Lover, Sophie B. Hawkins,spotify:track:7kmfQ2QHwGqRCxVHDv5mzo,1992,0.546,0.781,0.22,0.539,95.032,1.51e-05
2506,If You Asked Me To, Celine Dion,spotify:track:5Iw2i6Cs2pE7legT0SWtZ7,1992,0.464,0.552,0.111,0.225,172.304,0
2507,Achy Breaky Heart, Billy Ray Cyrus,spotify:track:2EoIt9vdgFRNW03u5IvFsQ,1992,0.795,0.582,0.0711,0.965,121.798,0
2508,Tennessee, Arrested Development,spotify:track:5K8qwhQQSAj9ebIvlNJY8q,1992,0.815,0.851,0.0284,0.674,99.915,0
2509,The Best Things In Life Are Free, Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2510,Live And Learn, Joe Public,spotify:track:4ScNzmyZZId9kGK9iXuqjn,1992,0.745,0.891,0.0867,0.654,106.641,0
2511,In The Closet, Michael Jackson,spotify:track:5Fy40smNxk0j5OpFMtvfaU,1992,0.876,0.782,0.117,0.622,110.494,0.000721
2512,Hold On My Heart, Genesis,spotify:track:0qbhFj4bVrguIZViOJOs36,1992,0.465,0.365,0.618,0.265,171.904,0.0113
2513,Wishing On A Star, The Cover Girls,spotify:track:7EE5va6hu88TSdtbXrEl0J,1992,0.353,0.544,0.581,0.48,88.898,9.95e-05
2514,Just Another Day, Jon Secada,spotify:track:5AoBNJQDXXEnIJGjJjZu3y,1992,0.717,0.642,0.0194,0.732,105.894,0.000249
2515,Come & Talk To Me, Jodeci,spotify:track:5xE7sFTlv2yrG9mmhDSpdq,1992,0.72,0.657,0.0262,0.657,172.168,2.33e-06
2516,Aint 2 Proud 2 Beg, TLC,spotify:track:5kVSEpbyuLIVuPM1i2KivC,1992,0.674,0.707,0.00265,0.712,104.854,0.00214
2517,Just Take My Heart, Mr. Big,spotify:track:7mqqMOgnRE50GOJFPxRF8x,1992,0.508,0.362,0.483,0.207,168.586,0
2518,Life Is A Highway, Tom Cochrane,spotify:track:0hKF8N8aflF1uDzEEnPr2j,1992,0.683,0.751,0.0681,0.841,103.036,8.36e-06
2519,I Will Remember You, Amy Grant,spotify:track:76crWZqaiFzlTPGzNtT4w1,1992,0.513,0.658,0.0329,0.336,177.625,9.3e-05
2520,You Wont See Me Cry, Wilson Phillips,spotify:track:28ncrMY3h1JBFYTiRRk5Gy,1992,0.471,0.449,0.523,0.125,76.788,2.7e-06
2521,Slow Motion, Color Me Badd,spotify:track:03GzYByXsXHcoEAxjsWv9G,1992,0.783,0.885,0.00531,0.941,92.042,0.752
2522,Do It To Me, Lionel Richie,spotify:track:1tKxrKBYIIykuLvipSWfgy,1992,0.683,0.525,0.154,0.56,91.507,3.71e-05
2523,Tears In Heaven, Eric Clapton,spotify:track:612VcBshQcy4mpB2utGc3H,1992,0.695,0.336,0.8,0.422,79.109,0.00264
2524,One, U2,spotify:track:3G69vJMWsX6ZohTykad2AU,1992,0.552,0.537,0.254,0.34,90.692,0.002
2525,Save The Best For Last, Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,1992,0.521,0.26,0.651,0.219,96.02,0
2526,Everything About You, Ugly Kid Joe,spotify:track:1O2ACd0zg4GYgQRhLBGYDV,1992,0.494,0.817,0.00878,0.755,122.671,2.26e-06
2527,Bohemian Rhapsody, Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J,1992,0.397,0.396,0.254,0.227,142.913,0
2528,Thought Id Died And Gone To Heaven, Bryan Adams,spotify:track:68Qv4S2uJ0nLvdtWPrlOVt,1992,0.438,0.735,0.0632,0.527,174.335,0
2529,Too Funky, George Michael,spotify:track:4KjPPpRbthW8dSNdisR2Wi,1992,0.659,0.893,0.0211,0.756,98.262,0.308
2530,T.L.C., Linear,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2531,Just For Tonight, Vanessa Williams,spotify:track:50H6z12Lesm74dBLlaHwqs,1992,0.567,0.373,0.381,0.291,141.979,0
2532,Lift Me Up, Howard Jones,spotify:track:0Jz5Clply8Ggx8gi9yyKJP,1992,0.701,0.837,0.0414,0.872,109.526,6.77e-05
2533,Keep On Walkin, CeCe Peniston,spotify:track:0s2AuUkqr6BN5GjLoTbjaw,1992,0.78,0.818,0.00287,0.669,104.991,0.0134
2534,They Want EFX, Das EFX,spotify:track:3HCzj965m8Fz2E8wZkir6q,1992,0.755,0.459,0.115,0.597,98.454,0
2535,Hazard, Richard Marx,spotify:track:6aILdORvFPD0mO7y5q8O1t,1992,0.674,0.546,0.176,0.63,124.845,0.0045
2536,Nu Nu, Lidell Townsell,spotify:track:7hqftTWzXssKbHiFFczBCL,1992,0.802,0.753,0.00173,0.909,125.944,0.507
2537,Lets Get Rocked, Def Leppard,spotify:track:0LoH6lFQLNscy3RyljAewK,1992,0.443,0.884,0.0123,0.514,184.142,6.87e-05
2538,Friday Im In Love, The Cure,spotify:track:263aNAQCeFSWipk896byo6,1992,0.526,0.762,0.000972,0.505,136.203,0.000116
2539,Make It Happen, Mariah Carey,spotify:track:5UVcgBRW78CCcKCopEGAST,1992,0.811,0.53,0.0067,0.75,107.853,0.0285
2540,Silent Prayer, Shanice,spotify:track:1150hrBaCI6Vs9PBNEeS7m,1992,0.465,0.409,0.133,0.152,141.82,0
2541,Not The Only One, Bonnie Raitt,spotify:track:1oSyjLVbcDjXyagb5XJ35K,1992,0.726,0.731,0.411,0.513,115.905,7.18e-05
2542,Closer To Me, The Outfield,spotify:track:7aoVXo6QZxoDM4fyXJpCDz,1992,0.674,0.605,0.161,0.811,120.972,0.00129
2543,Sometimes I Rhyme Slow, Nice & Smooth,spotify:track:18Mh3v6rBCCpcNYzyaA2RN,1992,0.81,0.55,0.113,0.626,108.382,0.394
2544,Baby-Baby-Baby, TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,1992,0.679,0.597,0.0913,0.9,184.174,0.000673
2545,Why, Annie Lennox,spotify:track:2fYYmPNwDaNpw1KRSxpQ5H,1992,0.531,0.471,0.28,0.119,90.941,6.22e-05
2546,Why Me Baby?, Keith Sweat,spotify:track:1VuMn6mB0xEzgWq48EmMZM,1992,0.725,0.613,0.015,0.393,132.765,3.97e-06
2547,Take This Heart, Richard Marx,spotify:track:1aHCn2d62m0Gghu0nLeaw3,1992,0.612,0.694,0.00142,0.551,115.53,0.0012
2548,Honey Love, R. Kelly & Public Announcement,spotify:track:59xZT3slhiKBT3eqfMwyDy,1992,0.693,0.65,0.109,0.452,71.034,0
2549,Everything Changes, Kathy Troccoli,spotify:track:7rJXvz9zXQr9YYdYzeXe7U,1992,0.749,0.874,0.0853,0.78,117.776,2.66e-06
2550,Giving Him Something He Can Feel, En Vogue,spotify:track:4htbAEZWr53J08x3dUv00W,1992,0.496,0.298,0.306,0.705,203.824,1.72e-06
2551,Please Dont Go, Boyz II Men,spotify:track:2AFD6YvmJ8eEZAuxiXxFuv,1992,0.617,0.822,0.115,0.718,135.6,0
2552,Helluva, Brotherhood Creed,spotify:track:6jYhsewiw0eMjtvMS8Lnlt,1992,0.804,0.864,0.0658,0.765,105.414,0
2553,Fall In Love Again, Eddie Money,spotify:track:3kVsdeo86jZLNvZBoVLgNk,1992,0.596,0.521,0.605,0.519,146.951,5.48e-06
2554,Maria, TKA,spotify:track:2GlCfUheirwLr62pmb6rMt,1992,0.658,0.887,0.0263,0.538,118.098,0.329
2555,"Mr. Loverman (From ""Deep Cover"")", Shabba Ranks,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2556,Move This, Technotronic Featuring Ya Kid K,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2557,Strawberry Letter 23, Tevin Campbell,spotify:track:2U96QtBPJE158fZ74GIqQX,1992,0.812,0.834,0.0663,0.817,106.425,0.000443
2558,Good Stuff, The B-52s,spotify:track:70y8ayO7a32MwwPC0AQruT,1992,0.754,0.78,0.0038,0.923,120.143,0.00226
2559,Innocent Child, Colourhaus,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2560,Remedy, The Black Crowes,spotify:track:4FgGFfL3FxvNxybHFcaz3m,1992,0.401,0.977,0.00164,0.329,160.513,4.04e-06
2561,Anything At All, Mitch Malloy,spotify:track:3AmZlfEuOqyoOfgqrbFPkh,1992,0.537,0.97,0.000411,0.695,119.155,8.3e-06
2562,James Brown Is Dead, L.A. Style,spotify:track:5EEsZl9wCWtPHXoi9I9PY7,1992,0.599,0.976,0.0013,0.501,130.724,0.787
2563,Never Satisfied, Good 2 Go,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2564,Whatever It Takes (To Make You Stay), Troop,spotify:track:7ypmnQBUevzJdnlUSmdndC,1992,0.574,0.618,0.0122,0.843,92.024,1.08e-06
2565,3-2-1 Pump, Redhead Kingpin & The F.B.I.,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2566,Smells Like Nirvana," ""Weird Al"" Yankovic",spotify:track:5Q1qSEtljHQzUygQTt0Ykw,1992,0.591,0.786,0.162,0.729,120.762,0.00178
2567,Victim Of The Ghetto, The College Boyz,spotify:track:33hgJSPKUy3WSvyvLAJFmZ,1992,0.67,0.654,0.0263,0.669,178.325,0
2568,Love Me, Tracie Spencer,spotify:track:0Q7aNolyWuEFAk53EGql50,1992,0.652,0.366,0.5,0.288,137.264,2.7e-05
2569,Will You Marry Me?, Paula Abdul,spotify:track:2I0O4qU0DVUvSCKLW0Bvs6,1992,0.623,0.7,0.422,0.548,149.726,3.12e-05
2570,Boom! I Got Your Boyfriend, MC Luscious,spotify:track:2NKLffvl6LvcJCCA5MG17d,1992,0.937,0.592,0.0224,0.618,129.843,2.51e-05
2571,Im The One You Need, Jody Watley,spotify:track:1spskkY6W9x7gg03BoqABI,1992,0.764,0.75,0.058,0.632,112.062,5.59e-06
2572,You Think You Know Her, Cause And Effect,spotify:track:6OUExuMUOP3mJGnS2eA0Rx,1992,0.648,0.699,0.0183,0.753,122.964,0.111
2573,Come As You Are, Nirvana,spotify:track:4P5KoWXOxwuobLmHXLMobV,1992,0.505,0.825,0.000182,0.541,119.987,0.000948
2574,Warm It Up, Kris Kross,spotify:track:4Gv46S98aguDKuKTrbRBus,1992,0.865,0.778,0.0411,0.763,103.008,0
2575,All Youve Got, RTZ,spotify:track:3WPPoxtp863Y3NdyjuT5Vj,1992,0.684,0.655,0.215,0.682,110.33,0
2576,"You Remind Me (From ""Strictly Business"")", Mary J. Blige,spotify:track:0vpxgszVaFz05WUwr1CG2M,1992,0.678,0.312,0.464,0.284,96.411,0.151
2577,57 Channels (And Nothin On), Bruce Springsteen,spotify:track:42eWzCqHuCD5QRwzq3I24e,1992,0.894,0.316,0.608,0.64,132.061,0.0153
2578,All Woman, Lisa Stansfield,spotify:track:49HxNFSisJ1QXCfJL1xVD7,1992,0.556,0.437,0.728,0.336,141.769,7.13e-05
2579,Take Time, Chris Walker,spotify:track:4h1uO4VGG5SDkiEaT4EG79,1992,0.648,0.743,0.0799,0.81,97.059,0
2580,If You Want It, 2nd II None,spotify:track:5MGSSlI7LQxTJ2IJsyRDlq,1992,0.93,0.547,0.00864,0.92,107.086,0
2581,Scenario, A Tribe Called Quest,spotify:track:0301nLjG0ti26rx5ZmfqtP,1992,0.795,0.6,0.112,0.633,101.78,0.000171
2582,Everythings Gonna Be Alright, Naughty By Nature,spotify:track:1KYzOVIcp7Oe6FTuIvHrpz,1992,0.883,0.647,0.0633,0.739,101.649,0
2583,Nothing Else Matters, Metallica,spotify:track:10igKaIKsSB6ZnWxPxPvKO,1992,0.558,0.364,0.0505,0.17,142.171,5.02e-06
2584,Dont Be Afraid, Aaron Hall,spotify:track:7EgBkZlqWRwvjmyc115LLR,1992,0.507,0.715,0.127,0.349,136.097,0
2585,This Is The Last Time, Laura Enea,spotify:track:2NiJZ3uFwXXGY93Jz1BT52,1992,0.646,0.951,0.00141,0.756,121.0,0.00152
2586,The Choice Is Yours, Black Sheep,spotify:track:4k9EkhkFZY8Bk41Qi0Ob7P,1992,0.847,0.684,0.0403,0.688,101.277,0
2587,High, The Cure,spotify:track:2iVtt0mYIL26IGAgRkhHT5,1992,0.618,0.717,0.0164,0.761,114.802,0.000339
2588,Twilight Zone, 2 Unlimited,spotify:track:6rEr7AsF3cmfUR3birakRF,1992,0.7,0.99,0.0873,0.77,127.884,0.00211
2589,Money Dont Matter 2 Night, Prince And The N.P.G.,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2590,Goodbye, Tevin Campbell,spotify:track:2rVXKUyHxMoWk7vTyOcYIH,1992,0.607,0.714,0.00805,0.573,165.939,1.24e-05
2591,Your Song, Rod Stewart,spotify:track:0PcUW2K3eOOics13ovzuZv,1992,0.549,0.314,0.273,0.0903,127.962,0.933
2592,Baby Hold On To Me, Gerald Levert (Duet With Eddie Levert),N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2593,I Wanna Rock, Luke,spotify:track:6BPA3Uzu6xDFTklgeWGqbD,1992,0.801,0.765,0.0399,0.624,138.052,8.35e-06
2594,Human Touch/Better Days, Bruce Springsteen,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2595,Sleeping With The Lights On, Curtis Stigers,spotify:track:4FGlBXJbkqhLep9ZWUJfmc,1992,0.675,0.822,0.169,0.734,104.991,2.78e-05
2596,Love You All My Lifetime, Chaka Khan,spotify:track:2yTswsiLkNGzzzX54WroNS,1992,0.693,0.827,0.0114,0.906,103.087,0.189
2597,Forever In Your Eyes, Mint Condition,spotify:track:42wQvfr9yRdiUqSabtsWkQ,1992,0.596,0.521,0.259,0.39,139.672,6.16e-05
2598,Please Dont Go, K.W.S.,spotify:track:41DTJjf2ZT7dTuZOKBNKbb,1992,0.725,0.954,0.0437,0.594,120.248,0.0857
2599,Slowly, Stacy Earl,spotify:track:5d9MHpJcUD6DsoJh0cTf8L,1992,0.617,0.372,0.0372,0.253,81.086,0
2600,Rush Rush, Paula Abdul,spotify:track:015qd1I4v00JIoK7yOUgKC,1991,0.706,0.44,0.763,0.395,90.012,0
2601,"I Wanna Sex You Up (From ""New Jack City"")", Color Me Badd,spotify:track:3lsse1FoSHnNXc6y0jHxvd,1991,0.551,0.591,0.00549,0.474,201.799,6.55e-06
2602,More Than Words, Extreme,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,1991,0.615,0.129,0.468,0.249,91.769,0
2603,Losing My Religion, R.E.M.,spotify:track:31AOj9sFz2gM0O3hMARRBx,1991,0.671,0.849,0.163,0.829,125.613,0
2604,Love Is A Wonderful Thing, Michael Bolton,spotify:track:2LCIRBYUBMFy9hL81qthi1,1991,0.727,0.824,0.00812,0.935,125.104,1.58e-06
2605,Unbelievable, EMF,spotify:track:5VYTKiOnHw4iTrB9pG3yum,1991,0.637,0.849,0.000341,0.936,104.074,0.0386
2606,Power Of Love/Love Power, Luther Vandross,spotify:track:6ep87j7rt6j8Fok55N9NOs,1991,0.602,0.911,0.0174,0.851,92.357,3.47e-05
2607,Strike It Up, Black Box,spotify:track:1ZMCV2gvlyUjZZYpVPjEJD,1991,0.871,0.874,0.0101,0.911,118.385,0.000326
2608,I Dont Wanna Cry, Mariah Carey,spotify:track:1hFtJ5rV3aAm58ErijHdFO,1991,0.641,0.504,0.197,0.276,130.786,9.01e-05
2609,"Right Here, Right Now", Jesus Jones,spotify:track:3fcGGP62sllcNEhuFJVYeC,1991,0.657,0.608,0.0088,0.723,106.862,3.45e-06
2610,Couple Days Off, Huey Lewis & The News,spotify:track:37QYKL0HcPLG3I1zQrttP5,1991,0.464,0.939,0.000554,0.623,162.251,0
2611,Playground, Another Bad Creation,spotify:track:0e3dpXiKdTHRNXZHdfM2JM,1991,0.788,0.774,0.101,0.784,110.491,0
2612,Here I Am (Come And Take Me), UB40,spotify:track:6YR2MkzMhojHBmW1TbXtZO,1991,0.802,0.621,0.0975,0.81,95.906,0.0256
2613,I Like The Way (The Kissing Game), Hi-Five,spotify:track:7Irxs7jhvE4egHWa1D4o9L,1991,0.746,0.407,0.293,0.865,102.868,1.59e-06
2614,Gypsy Woman (Shes Homeless), Crystal Waters,spotify:track:1SShxVVBeZBCY7WddnksPz,1991,0.744,0.633,0.00092,0.23,119.984,0.237
2615,Walking In Memphis, Marc Cohn,spotify:track:5fgkjhICZnqFctrV0AyuQD,1991,0.567,0.512,0.547,0.334,130.269,0
2616,We Want The Funk, Gerardo,spotify:track:2H2DEIShDY2sCjTiFJIEPt,1991,0.773,0.848,0.00477,0.759,106.599,0
2617,How Can I Ease The Pain, Lisa Fischer,spotify:track:24LlWhWXorT9R81J2vaA9H,1991,0.634,0.577,0.143,0.4,116.212,1.78e-05
2618,Place In This World, Michael W. Smith,spotify:track:0PKTBeN87JYJ1mRzrq5Aog,1991,0.446,0.559,0.388,0.372,145.419,1.78e-05
2619,Mama Said Knock You Out, LL Cool J,spotify:track:6C7ZgThn6Yan5MTZdAEEFw,1991,0.798,0.761,0.0342,0.603,102.373,0.592
2620,Do You Want Me, Salt-N-Pepa,spotify:track:2iXqaccRqW6vqvqqBgOuug,1991,0.901,0.457,0.0743,0.972,121.567,1.64e-05
2621,Piece Of My Heart, Tara Kemp,spotify:track:1jRAg7uqdsm5VYKKeEVKVd,1991,0.536,0.823,0.111,0.916,200.128,0.000432
2622,Lily Was Here, David A. Stewart Introducing Candy Dulfer,N/A,1991,N/A,N/A,N/A,N/A,N/A,N/A
2623,Never Gonna Let You Down, Surface,spotify:track:4V0s4tCAluvZWPEAIodihi,1991,0.56,0.363,0.55,0.186,124.45,0
2624,A Better Love, Londonbeat,spotify:track:1fALXFVWhnXVME9MNCQmt1,1991,0.626,0.603,0.107,0.749,95.734,9.84e-05
2625,Ill Never Let You Go, Steelheart,spotify:track:2GeCfHlX5hfFKcy1aICNwR,1991,0.362,0.648,0.0139,0.441,72.019,0.111
2626,P.A.S.S.I.O.N., Rhythm Syndicate,N/A,1991,N/A,N/A,N/A,N/A,N/A,N/A
2627,Love At First Sight, Styx,spotify:track:1kwvV2LoPN0S7d66WeyTdY,1991,0.624,0.6,0.314,0.576,115.849,0
2628,The Dream Is Still Alive, Wilson Phillips,spotify:track:70Xbo0Sqj5ed67EqZz1W5Z,1991,0.582,0.676,0.303,0.496,108.291,0
2629,Rhythm Of My Heart, Rod Stewart,spotify:track:6pceknxOgA22HKs99yPEm1,1991,0.582,0.54,0.0621,0.433,94.955,0
2630,Baby Baby, Amy Grant,spotify:track:3IDsegNBHC4pjGCOMTQYlU,1991,0.702,0.901,0.426,0.919,97.862,0.00153
