,Winter Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
2379,Supernova, Liz Phair,spotify:track:0xQ8FPMnv2mG9VhTgpxn2R,1994,0.517,0.758,0.000362,0.705,130.708,0.723
2380,Tic Toc, Lords Of The Underground,spotify:track:70MIcS5eLolVxvCK3l9Tzk,1994,0.806,0.575,0.0742,0.458,91.78,3.21e-06
2381,Biological Didnt Bother, Shaquille O'Neal,spotify:track:1XkAMb9xkBEQCwJaccjlpb,1994,0.825,0.494,0.283,0.643,84.854,0.00204
2382,Pickup Man, Joe Diffie,spotify:track:3QvOV1QYPPre7gjppKyeON,1994,0.709,0.757,0.434,0.852,140.664,0
2383,She Dont Use Jelly, The Flaming Lips,spotify:track:1dJuteDIOkGfDSN7zPkzNv,1994,0.33,0.556,0.207,0.506,173.828,4.39e-05
2384,Picture Postcards From L.A., Joshua Kadison,spotify:track:4MNSdVgRmPVraQ1eqNoVg2,1994,0.702,0.439,0.671,0.548,135.413,0.00305
2385,Till You Love Me, Reba McEntire,spotify:track:0KqNGYMQgLKaEbtMfKjqAb,1994,0.385,0.423,0.692,0.393,110.549,0
2386,Body & Soul, Anita Baker,spotify:track:2vkPbprJ4BTjF9p4wiKFgi,1994,0.537,0.474,0.618,0.275,109.09,0
2387,Back Up Off Me!, Doctor Dre & Ed Lover,N/A,1994,N/A,N/A,N/A,N/A,N/A,N/A
2388,You Suck, The Murmurs,N/A,1994,N/A,N/A,N/A,N/A,N/A,N/A
2389,I See It Now, Tracy Lawrence,spotify:track:4h1oxHwo7BD2Yjv4g6WQ42,1994,0.567,0.436,0.267,0.305,91.821,0
2390,Pimp Of The Year, Dru Down,spotify:track:5f8KgDZ8aQKQii0U1qdRbC,1994,0.931,0.513,0.108,0.3,101.064,0.000435
2391,Undone - The Sweater Song, Weezer,spotify:track:6FxbwB6o1MKOy0dHvxNr2W,1994,0.45,0.652,0.00556,0.514,80.128,0.000786
2392,Promise Me, Lil Suzy,spotify:track:6lAfRvgL1Cn1VcBnTw8HDu,1994,0.727,0.657,0.000203,0.309,126.011,0.00114
2393,Breakdown, Fu-Schnickens,spotify:track:30ddL5qZgnFlIQnqIFe9ir,1994,0.75,0.761,0.274,0.705,97.782,0
2394,Bad Reputation, Freedy Johnston,spotify:track:5aNAOwr2QoRbvyRG7ZVrhf,1994,0.608,0.677,0.0058,0.787,114.046,0.000537
2395,Ill Take Her, Ill Al Skratch Featuring Brian McKnight,N/A,1994,N/A,N/A,N/A,N/A,N/A,N/A
2396,Whutcha Want?, Nine,spotify:track:7vl0JjpJNnAHCREOnBKOkW,1994,0.674,0.767,0.104,0.837,97.075,1.09e-06
2397,Redneck Stomp, Jeff Foxworthy,spotify:track:5IoT4k9euck5Odi3QJdvak,1994,0.713,0.966,0.144,0.73,107.218,0
2398,Cant Help Myself, Gerald Levert,spotify:track:36YYX5u0EFbAwwhA2YXZxd,1994,0.55,0.64,0.496,0.606,143.345,0
2399,Tremor Christ/Spin The Black Circle, Pearl Jam,N/A,1994,N/A,N/A,N/A,N/A,N/A,N/A
2400,Hero, Mariah Carey,spotify:track:4FCb4CUbFCMNRkI6lYc1zI,1993,0.501,0.378,0.735,0.178,119.987,0
2401,Again, Janet Jackson,spotify:track:1GrikfH0jDejDvrxo84n4P,1993,0.873,0.591,0.0788,0.496,123.091,0.0071
2402,All That She Wants, Ace Of Base,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,1993,0.798,0.625,0.00547,0.858,93.764,7.98e-05
2403,Id Do Anything For Love (But I Wont Do That), Meat Loaf,spotify:track:391CwgcBxvUHmEKda2b5In,1993,0.417,0.659,0.602,0.339,104.818,0
2404,All For Love, Bryan Adams/Rod Stewart/Sting,spotify:track:035aFnfIrO25Hy4PRP6GC7,1993,0.455,0.579,0.164,0.126,149.842,0
2405,Gangsta Lean, DRS,spotify:track:7FsrQ9ioJZuTJ9S1ANyl0d,1993,0.742,0.258,0.451,0.476,82.576,0
2406,Shoop, Salt-N-Pepa,spotify:track:2c7H254xlKoGhmZT194C0T,1993,0.939,0.72,0.0816,0.786,96.918,0
2407,Breathe Again, Toni Braxton,spotify:track:1xFliXOpcu7E89AsDAZ7JV,1993,0.689,0.677,0.0704,0.259,153.919,0
2408,Whats My Name?, Snoop Dogg,spotify:track:5XhkV07Vou38wnrzwURUOC,1993,0.692,0.833,0.000136,0.692,96.814,1.98e-05
2409,Said I Loved You...But I Lied, Michael Bolton,spotify:track:2nfMrwg3aRhSAv4HX7IzJL,1993,0.547,0.569,0.189,0.432,159.713,7.05e-06
2410,Please Forgive Me, Bryan Adams,spotify:track:0ZJhQU5neADfzJhXVzZdoa,1993,0.58,0.479,0.496,0.153,133.996,0
2411,Can We Talk, Tevin Campbell,spotify:track:6a5jHgwqYMk9wlYJYfs3c9,1993,0.658,0.711,0.0759,0.614,172.365,1.77e-05
2412,Whoomp! (There It Is), Tag Team,spotify:track:2b4qmlGvB7msgrK5vgGl9m,1993,0.871,0.674,0.0485,0.627,127.99,0.000635
2413,Just Kickin It, Xscape,spotify:track:51RvCRzeTqoQgdOBgcpHtT,1993,0.694,0.365,0.054,0.693,80.904,3.43e-05
2414,Keep Ya Head Up, 2Pac,spotify:track:0XRbYXQUymj9SJkrr8YK5B,1993,0.636,0.731,0.162,0.61,86.15,0
2415,Linger, The Cranberries,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,1993,0.211,0.423,0.0849,0.23,94.84,3.61e-05
2416,Hey Mr. D.J., Zhane,spotify:track:6dEs3CH2goHCTR6XCTctVd,1993,0.865,0.556,0.0268,0.873,101.313,0.000961
2417,Because The Night," 10,000 Maniacs",spotify:track:5VzvK7YiwWbRePA2JOzhYq,1993,0.408,0.79,0.26,0.347,122.624,0.00027
2418,Getto Jam, Domino,spotify:track:2aBTni2iaGVsCEp74wVQjv,1993,0.782,0.716,0.00777,0.435,86.581,6.15e-05
2419,Mr. Vain, Culture Beat,spotify:track:4ih3dyFZoeTdaeJW9mPbOI,1993,0.703,0.997,0.0726,0.391,132.872,0.0235
2420,Never Keeping Secrets, Babyface,spotify:track:7L06pF5o819jflseQ4Wde5,1993,0.693,0.648,0.0949,0.319,113.117,0
2421,What Is Love, Haddaway,spotify:track:4v6jydWBTAIqnyPVNyOAdc,1993,0.69,0.801,0.0207,0.726,123.864,0.00399
2422,Cry For You, Jodeci,spotify:track:3RNvMhYFEwpCgPnDGKR5MB,1993,0.651,0.498,0.328,0.581,115.771,0
2423,"I Can See Clearly Now (From ""Cool Runnings"")", Jimmy Cliff,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2424,Come Baby Come, K7,spotify:track:0Y6z0WSMQpTpj4kQArPnmK,1993,0.832,0.726,0.0283,0.548,106.118,0
2425,Dreamlover, Mariah Carey,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,1993,0.701,0.705,0.18,0.71,100.669,0
2426,Sex Me (Parts I & II), R. Kelly,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2427,The Power Of Love, Celine Dion,spotify:track:5kK1Iru9ogP3Iy1zsANU1n,1993,0.546,0.519,0.36,0.247,140.054,0.00046
2428,All About Soul, Billy Joel,spotify:track:00p615Q4EFYMIAr055wqRu,1993,0.555,0.86,0.0386,0.468,108.594,0
2429,"Never Shouldve Let You Go (From ""Sister Act 2"")", Hi-Five,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2430,Time And Chance, Color Me Badd,spotify:track:0JgmNbOGbwQ1gIYXOthuM3,1993,0.642,0.51,0.217,0.49,99.179,0
2431,Dreams, Gabrielle,spotify:track:3vmOVIUDPW2sMlZDIlij6O,1993,0.604,0.51,0.409,0.241,134.953,0.00446
2432,Jessie, Joshua Kadison,spotify:track:4n8iSiSWRdaSeSpJMbdk9O,1993,0.648,0.464,0.426,0.512,142.924,4.93e-06
2433,U.N.I.T.Y., Queen Latifah,spotify:track:4OxXBAN51tjVBEjSwuWWbv,1993,0.657,0.515,0.0191,0.506,94.297,0
2434,Cryin, Aerosmith,spotify:track:0NJC0FDCODpPUntRTTQq97,1993,0.438,0.876,0.000314,0.437,105.822,0.014
2435,Anniversary, Tony Toni Tone,spotify:track:6PViGgcsQhLPSkMxgoRWLl,1993,0.708,0.504,0.0463,0.558,88.992,0
2436,Both Sides Of The Story, Phil Collins,spotify:track:4cf7GM8kOiqc0KwDn3GxRa,1993,0.524,0.706,0.0383,0.425,127.645,0.000111
2437,The River Of Dreams, Billy Joel,spotify:track:30qVCFYKBtAENjTIBA8FPZ,1993,0.631,0.749,0.205,0.437,89.646,5.21e-06
2438,(I Know I Got) Skillz, Shaquille O'Neal,spotify:track:2HyZBaYD5e6k3EfvEbha7x,1993,0.804,0.925,0.00302,0.65,91.99,0.379
2439,Sweat (A La La La La Long), Inner Circle,spotify:track:1SssFw74DdHVjRa6ADggdD,1993,0.787,0.727,0.0124,0.936,173.025,0
2440,No Rain, Blind Melon,spotify:track:6txWz9UapYHVxEd7dDIHXT,1993,0.389,0.476,0.619,0.566,148.117,5.09e-05
2441,Understanding, Xscape,spotify:track:4yKbbM56fLCxwR5CTH6QkP,1993,0.7,0.465,0.36,0.306,137.823,0.000157
2442,If, Janet Jackson,spotify:track:0t414ewhjcIiuPVF3QECz2,1993,0.653,0.976,0.0374,0.447,105.575,0.00173
2443,Slow And Easy, Zapp & Roger,spotify:track:1gx8WJB0qTpA1nxKloIaQ6,1993,0.759,0.66,0.105,0.778,140.68,0
2444,Amazing, Aerosmith,spotify:track:6beFuzSjwhOKFZp2aqYDdY,1993,0.309,0.76,0.0742,0.331,139.36,0.000118
2445,Found Out About You, Gin Blossoms,spotify:track:1p7w5NP0wxPZ7hXxC4fVB0,1993,0.469,0.896,0.000847,0.645,134.792,0.00248
2446,Wild World, Mr. Big,spotify:track:2kj5f1eRhUFhW6K0qUwoD8,1993,0.573,0.722,0.182,0.59,144.209,0
2447,Another Sad Love Song, Toni Braxton,spotify:track:70iDnqYvxCPl3mPd3ddxgD,1993,0.78,0.71,0.0143,0.858,96.067,3.49e-05
2448,Real Muthaphuckkin Gs, Eazy-E,spotify:track:53BZ6XygAoubR5DU5w38Vq,1993,0.724,0.853,0.0164,0.775,170.51,0
2449,"Two Steps Behind (From ""Last Action Hero"")", Def Leppard,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2450,Higher Ground, UB40,spotify:track:3mDoAC8R1miOQ6Ld1NkAYH,1993,0.799,0.504,0.074,0.92,101.067,0.000609
2451,Reason To Believe, Rod Stewart,spotify:track:6x5sduIWAaaM0dcWPYcNAF,1993,0.347,0.52,0.726,0.471,138.178,0.000857
2452,Let It Snow, Boyz II Men,spotify:track:5jFiyUs5R6kHuKbAs0ZU2s,1993,0.697,0.415,0.719,0.558,124.407,2.59e-05
2453,Cantaloop (Flip Fantasia), US3,spotify:track:2AnTuxahfcAS7dGxGZnihY,1993,0.852,0.655,0.107,0.952,115.962,2.07e-05
2454,Award Tour, A Tribe Called Quest,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,1993,0.812,0.6,0.00308,0.555,97.338,8.38e-06
2455,True Love, Elton John & Kiki Dee,spotify:track:70hCPBJMdYSuGcNGOdR8BB,1993,0.481,0.234,0.714,0.121,104.826,0
2456,Come Inside, Intro,spotify:track:1XX4xX9rrdaomm4RxAJjZW,1993,0.735,0.447,0.0114,0.619,135.999,0
2457,Goody Goody, Lisette Melendez,spotify:track:4cFgJuUu4hkwJLB7bBYqoL,1993,0.736,0.914,0.0982,0.881,99.221,0.173
2458,Miss You In A Heartbeat, Def Leppard,spotify:track:47jRWT09YkhZXJMuGBYkpb,1993,0.601,0.389,0.514,0.277,134.064,5.78e-05
2459,Ill Be Loving You, Collage,spotify:track:70YbkeMhAqTxOhOwnw3T4p,1993,0.701,0.923,0.0567,0.813,125.778,7.67e-05
2460,"Soul To Squeeze (From ""Coneheads"")", Red Hot Chili Peppers,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2461,Hopelessly, Rick Astley,spotify:track:2sZX1XaQOGaOZEQLCzRkCU,1993,0.547,0.457,0.46,0.298,150.001,0
2462,Freakit, Das EFX,spotify:track:1A4DjgWzJ839VdFCKE5hBD,1993,0.801,0.518,0.0286,0.598,97.302,3.65e-06
2463,Everybody Hurts, R.E.M.,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,1993,0.491,0.334,0.609,0.19,94.337,0.0221
2464,God Blessed Texas, Little Texas,spotify:track:4qkshp4FWe0msInDWTbBlR,1993,0.648,0.766,0.232,0.971,128.798,1.54e-05
2465,"Stay (Faraway, So Close!)", U2,spotify:track:1E1ylgIWTW2yE0glywYLb6,1993,0.563,0.501,0.168,0.756,94.083,0.0122
2466,Into Your Arms, The Lemonheads,spotify:track:2rD9tU2bws0PgOPsI6aIZo,1993,0.504,0.782,0.0661,0.619,123.883,1.31e-06
2467,As Long As I Can Dream, Expose,spotify:track:2WukpFZIJd3HiF0Aos3eXE,1993,0.426,0.547,0.404,0.489,139.174,0
2468,Cannonball, The Breeders,spotify:track:2hjGuRIEfEGzQ5MEWLowiU,1993,0.502,0.758,0.00915,0.729,112.508,0.783
2469,Yours, Shai,spotify:track:3xSu3S8v206qwhob9N2LGJ,1993,0.467,0.577,0.21,0.609,143.625,1.86e-05
2470,Give It Up, The Goodmen,spotify:track:1908Jp852t3j4MCB4iKdBw,1993,0.751,0.921,0.00911,0.759,124.904,0.898
2471,Sentimental, Kenny G,spotify:track:5I7uF6AdRy5SbtHE6k1QJo,1993,0.426,0.269,0.0348,0.135,139.813,0.0593
2472,"Indo Smoke (From ""Poetic Justice"")", Mista Grimm,spotify:track:63KcYWznO0w3J5wymiT9QK,1993,0.785,0.556,0.0288,0.601,98.836,0
2473,Really Doe, Ice Cube,spotify:track:1P1drZCIcMAqTMbO2DzImN,1993,0.771,0.734,0.0104,0.707,96.913,0.0624
2474,Method Man, Wu-Tang Clan,spotify:track:5XLC8xoqyua4U7wJiZAWik,1993,0.903,0.519,0.0286,0.596,101.561,0.000907
2475,Looking For Mr. Do Right, Jade,spotify:track:6yosQszs2pOEkmGKOqagmN,1993,0.635,0.409,0.122,0.297,99.932,0
2476,Send Me A Lover, Taylor Dayne,spotify:track:0WBbBMPdQwAMbPUeCJzmai,1993,0.563,0.481,0.644,0.362,134.741,3.52e-05
2477,Let Me Ride, Dr. Dre,spotify:track:04Tf0AplqcbmxnBWisVaYt,1993,0.663,0.856,0.0676,0.791,92.343,0
2478,Better Than You, Lisa Keith,spotify:track:0OiHiGMUi1uAXYBEPTKwMB,1993,0.598,0.765,0.176,0.636,199.772,0
2479,Fast As You, Dwight Yoakam,spotify:track:6FevJcaJvt5EvsHnuJHBnb,1993,0.628,0.801,0.000479,0.843,125.954,0.0897
2480,93 til Infinity, Souls Of Mischief,spotify:track:0PV1TFUMTBrDETzW6KQulB,1993,0.59,0.672,0.125,0.688,206.247,1.04e-06
2481,Im Looking For The One (To Be With Me), Jazzy Jeff & The Fresh Prince,spotify:track:4F2T4Jm9OuJO3MGkVWAr8t,1993,0.766,0.839,0.00729,0.675,97.394,0
2482,Life (Everybody Needs Somebody To Love), Haddaway,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2483,Betchall Never Find, Chantay Savage,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2484,The Song Remembers When, Trisha Yearwood,spotify:track:2teLK5f6XN6WkncKIPFmuu,1993,0.573,0.375,0.806,0.262,79.942,1.15e-05
2485,Mary Janes Last Dance, Tom Petty And The Heartbreakers,spotify:track:5eYwDBLucWfWI5KsV7oYX2,1993,0.402,0.814,0.0383,0.516,170.02,1.19e-06
2486,Will You Be There (In The Morning), Heart,spotify:track:78fh8ymSUdo9oWkShDZbT8,1993,0.553,0.743,0.0365,0.528,166.499,1.65e-05
2487,Rubberband Girl, Kate Bush,spotify:track:6d77bS8aW1nnIoAbyMTri1,1993,0.625,0.786,0.0765,0.898,120.094,0.416
2488,"I Love Music (From ""Carlitos Way"")", Rozalla,spotify:track:7bf3WkBlgMvE2n0F96LQja,1993,0.714,0.686,0.0376,0.842,125.982,0.0043
2489,Love For Love, Robin S.,spotify:track:47iKV0KlcvlflSsrCPD3TQ,1993,0.769,0.707,0.000301,0.93,117.954,0.0245
2490,John Deere Green, Joe Diffie,spotify:track:2ZXsvL9DO2MPv43Ay1IxgR,1993,0.685,0.817,0.15,0.768,130.41,0
2491,Im Real, Kris Kross,spotify:track:05ubQfyYkjNn0yycGKLTDx,1993,0.783,0.666,9.17e-05,0.801,94.191,0
2492,Yolanda, Reality,spotify:track:2NmuKEzmz0mb93NkEbTsuS,1993,0.764,0.697,0.000142,0.748,126.47,0
2493,Foreplay, RAab,spotify:track:4HKMlBeb76AeBAnUwTNGoB,1993,0.629,0.483,0.00439,0.619,139.868,0
2494,Something In Your Eyes, Bell Biv DeVoe,spotify:track:6x62R3fzn2mDGNzyFtiOKT,1993,0.814,0.612,0.0358,0.863,128.909,0.000112
2495,Push The Feeling On, Nightcrawlers,spotify:track:1EWsVHU4FNAdtN4R8FETag,1993,0.8,0.502,0.0308,0.808,123.041,1.19e-05
2496,Whats It To You, Clay Walker,spotify:track:346GCw2msr77HA5I5NFsKS,1993,0.722,0.571,0.026,0.928,117.813,0
2497,Here Come The Lords, Lords Of The Underground,spotify:track:34MRi5GRWHFUa731JBxFEl,1993,0.89,0.716,0.174,0.656,99.988,0.000589
2498,Rock With You, Inner Circle,spotify:track:2l6xzaGrOReUbNju4XcdaR,1993,0.739,0.557,0.0411,0.965,163.877,0.00118
2499,Same Ol Shit, MC Ren,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A
2500,I Will Always Love You, Whitney Houston,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,1992,0.306,0.214,0.844,0.108,66.98,5.3e-06
2501,Rump Shaker, Wreckx-N-Effect,spotify:track:4dY4JVC0Q9CwpeZ6JAclIc,1992,0.885,0.81,0.00277,0.247,102.773,0.0327
2502,If I Ever Fall In Love, Shai,spotify:track:0uOPGU4CbYxzFxn6T7sblW,1992,0.635,0.306,0.129,0.173,127.922,0
2503,"In The Still Of The Nite (From ""The Jacksons"")", Boyz II Men,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2504,"Id Die Without You (From ""Boomerang"")", P.M. Dawn,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2505,Rhythm Is A Dancer, Snap!,spotify:track:4RADreHMvMkZwsPgPr9z5c,1992,0.794,0.745,0.271,0.706,124.249,0.00041
2506,Good Enough, Bobby Brown,spotify:track:63flJygRbWG473VvWiODYC,1992,0.578,0.744,0.00783,0.531,180.323,0.000333
2507,"Saving Forever For You (From ""Beverly Hills, 90210"")", Shanice,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2508,How Do You Talk To An Angel, The Heights,spotify:track:2QVHmiFTjFsHyxONRdbkcq,1992,0.404,0.51,0.281,0.526,80.643,6.32e-06
2509,Real Love, Mary J. Blige,spotify:track:3XG801WWhqC753dekEBkMt,1992,0.759,0.789,0.112,0.811,95.013,0.000183
2510,What About Your Friends, TLC,spotify:track:63PIgPkDf3rswlU4ZWCYAM,1992,0.744,0.851,0.0267,0.626,105.882,0.00738
2511,To Love Somebody, Michael Bolton,spotify:track:4ye6YRG07XMpZZ9Y9tNTt6,1992,0.367,0.353,0.335,0.282,74.103,0
2512,Deeper And Deeper, Madonna,spotify:track:6KU8g98m1tcrUXRNjPQeOI,1992,0.659,0.818,0.00601,0.39,119.943,0.299
2513,Love Is On The Way, Saigon Kick,spotify:track:3F3n2V9XBrtb1omqLfcNPe,1992,0.576,0.449,0.085,0.0552,129.323,0
2514,Do You Believe In Us, Jon Secada,spotify:track:3u5e3ovyvQLoauwUzWezvX,1992,0.662,0.891,0.0103,0.743,107.75,3.64e-06
2515,Layla, Eric Clapton,spotify:track:3BEZCNZSmVv30vsMNSOCri,1992,0.558,0.524,0.321,0.636,93.654,0.000952
2516,Little Miss Cant Be Wrong, Spin Doctors,spotify:track:1uCqIhOePc6hDMG2ijk8sp,1992,0.515,0.903,0.014,0.927,116.44,0.0218
2517,When She Cries, Restless Heart,spotify:track:61EQfJXizp4MIpLYWyLoQI,1992,0.666,0.521,0.114,0.361,105.223,0
2518,Faithful, Go West,spotify:track:6lP1Tmf5VdZYviohSQoMiH,1992,0.615,0.912,0.0323,0.753,105.538,0
2519,Walking On Broken Glass, Annie Lennox,spotify:track:4CcSw8wQAHYf4XNckayPoc,1992,0.75,0.562,0.215,0.807,115.008,1.1e-06
2520,"End Of The Road (From ""Boomerang"")", Boyz II Men,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2521,Flex, Mad Cobra,spotify:track:2TajSezbrdFdex9g5L6wo9,1992,0.725,0.664,0.617,0.738,154.16,0
2522,Where You Goin Now, Damn Yankees,spotify:track:4T4USMwkypiv1tdPVua2yF,1992,0.48,0.72,0.0116,0.383,76.54,0
2523,Back To The Hotel, N2Deep,spotify:track:47ukoPgAExwBp64F2gQlv2,1992,0.69,0.38,0.000168,0.305,201.697,0.000533
2524,Never A Time, Genesis,spotify:track:39GQI777IY2AxHtx36x7qS,1992,0.573,0.526,0.514,0.291,76.977,0.0148
2525,The Last Song, Elton John,spotify:track:0pNXDQo75eOukoK8PejiRE,1992,0.311,0.289,0.351,0.103,117.57,0
2526,Would I Lie To You?, Charles & Eddie,spotify:track:21MLFi0ISlqDBp7DQHPi7p,1992,0.547,0.538,0.473,0.718,202.409,0
2527,Drive, R.E.M.,spotify:track:3geRffSf6eAruhg23RkpKV,1992,0.476,0.432,0.164,0.233,142.575,0.00105
2528,7, Prince And The New Power Generation,spotify:track:04MjaNej8XUHI8jbz2THez,1992,0.747,0.749,0.0917,0.563,100.722,0
2529,Sometimes Love Just Aint Enough, Patty Smyth With Don Henley,spotify:track:5twi8XG3Xows5KYNXiywWl,1992,0.422,0.29,0.432,0.125,169.868,0
2530,Here We Go Again!, Portrait,spotify:track:5rIr1MOh4cWwpdln1QqTPS,1992,0.771,0.745,0.0256,0.599,106.709,0.000374
2531,Jump Around, House Of Pain,spotify:track:3TZwjdclvWt7iPJUnMpgcs,1992,0.854,0.71,0.0113,0.818,106.894,8.72e-05
2532,I Wish The Phone Would Ring, Expose,spotify:track:168TRkPPfZ8pAH5AE4XLxu,1992,0.667,0.743,0.0765,0.874,94.985,0.00134
2533,Walk On The Ocean, Toad The Wet Sprocket,spotify:track:6DfvtrAhkXb6ruEaTGdA8r,1992,0.387,0.552,0.288,0.336,183.171,3.72e-06
2534,Whos Gonna Ride Your Wild Horses, U2,spotify:track:4SzIZFruLhiAzhuMtAhIRt,1992,0.436,0.687,0.0397,0.388,132.716,9.47e-05
2535,People Everyday, Arrested Development,spotify:track:5thts3213xwSroRd11fv5A,1992,0.844,0.609,0.0074,0.725,91.117,0
2536,Keep The Faith, Bon Jovi,spotify:track:1zng9uqqXoPkmU05nsAlsw,1992,0.313,0.58,0.103,0.181,165.038,0
2537,"Give It Up, Turn It Loose", En Vogue,spotify:track:0BdAjgQqEb12CyH19xBU2N,1992,0.836,0.58,0.19,0.939,93.015,0.000271
2538,I Got A Thang 4 Ya!, Lo-Key?,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2539,Free Your Mind, En Vogue,spotify:track:2vG1yrWSMiL6egg6w4e9ma,1992,0.765,0.831,0.0894,0.809,100.026,0
2540,Gangsta, Bell Biv DeVoe,spotify:track:1XgiaKAh3lzjaABhHUB0IX,1992,0.723,0.779,0.00174,0.731,112.558,0.0649
2541,A Whole New World (Aladdins Theme), Peabo Bryson & Regina Belle,spotify:track:1LHiLpkfXB731TocfhjRnR,1992,0.252,0.274,0.242,0.187,105.792,0.645
2542,Its Gonna Be A Lovely Day, The S.O.U.L. S.Y.S.T.E.M.,spotify:track:5A5Ej8R3QY9xb98dmVowmL,1992,0.66,0.617,0.00138,0.486,98.625,0.266
2543,Baby-Baby-Baby, TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,1992,0.679,0.597,0.0913,0.9,184.174,0.000673
2544,Slow And Sexy, Shabba Ranks (Featuring Johnny Gill),N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2545,"Love Shoulda Brought You Home (From ""Boomerang"")", Toni Braxton,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2546,Someone To Hold, Trey Lorenz,spotify:track:0QxHxD5A0qzNBIMobsQT4X,1992,0.594,0.543,0.448,0.543,147.956,0
2547,Just Another Day, Jon Secada,spotify:track:5AoBNJQDXXEnIJGjJjZu3y,1992,0.717,0.642,0.0194,0.732,105.894,0.000249
2548,No Ordinary Love, Sade,spotify:track:42vYxMAWsFpBOS7hgAdzqW,1992,0.629,0.364,0.468,0.699,166.254,0.0198
2549,Love Can Move Mountains, Celine Dion,spotify:track:4CdJVgND2ZRmc7ff5GDzHx,1992,0.732,0.881,0.00911,0.305,105.912,0.000756
2550,Have You Ever Needed Someone So Bad, Def Leppard,spotify:track:0nf9RjoFTcOzTIXtmzhRuH,1992,0.491,0.73,0.0527,0.725,136.759,7.36e-06
2551,I Love You Period, Dan Baird,spotify:track:08FaxmURVgqiY9HDlW1wrh,1992,0.541,0.863,0.0175,0.929,114.196,0.000469
2552,Mr. Wendal, Arrested Development,spotify:track:5DOYik1z3Of1wAFfY3dYbC,1992,0.884,0.37,0.0188,0.883,109.997,0.00423
2553,Heal The World, Michael Jackson,spotify:track:7woW97CfcWaKtuC6W5BP2K,1992,0.534,0.485,0.537,0.102,80.923,1.79e-06
2554,Baby Im For Real/Natural High, After 7,spotify:track:3sNb8tbLBLo00qDUAyuG0N,1992,0.475,0.79,0.0446,0.383,156.758,0
2555,Quality Time, Hi-Five,spotify:track:5O2eGBugaBlEDpWP5tPs2L,1992,0.644,0.674,0.0761,0.656,155.907,0
2556,Reminisce, Mary J. Blige,spotify:track:0EWT5JnKOf6saRn4ASff3j,1992,0.638,0.695,0.0486,0.586,91.427,1.17e-05
2557,I Dont Care, Shakespear's Sister,spotify:track:4iG0gUBK2jqa4gBPVeFx8g,1992,0.632,0.789,0.00114,0.511,100.084,0.00561
2558,Erotica, Madonna,spotify:track:3b3PnE1ROIZzILjmCGjVib,1992,0.592,0.642,0.0883,0.16,92.419,0.00134
2559,Stand Up (Kick Love Into Motion), Def Leppard,spotify:track:0dr71rw5oIcPtUHRJES6gP,1992,0.405,0.78,0.0754,0.803,205.99,1.28e-05
2560,Everythings Gonna Be Alright, Father M.C.,spotify:track:78Nx4qNwmATqqcs4biKW1T,1992,0.794,0.741,0.21,0.801,108.216,0
2561,Ditty, Paperboy,spotify:track:2JaHnS7CcIPoc7Il4BkqdR,1992,0.838,0.452,0.0509,0.708,99.075,0
2562,I Will Be Here For You, Michael W. Smith,spotify:track:3CO19cTl5zzlWx9GWEpOhD,1992,0.425,0.519,0.185,0.208,143.887,0
2563,"Forever Love (From ""Mo Money"")", Color Me Badd,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2564,Steam, Peter Gabriel,spotify:track:1Nb9qkXxRF3k7vDruNO1XK,1992,0.752,0.544,0.0233,0.835,109.007,1.13e-05
2565,These Are Days," 10,000 Maniacs",spotify:track:786h4kDeZiX5nYvOwA3wtE,1992,0.611,0.833,0.0218,0.793,108.498,0.000204
2566,Shamrocks And Shenanigans (Boom Shalock Lock Boom), House Of Pain,N/A,1992,N/A,N/A,N/A,N/A,N/A,N/A
2567,Homies, Lighter Shade Of Brown,spotify:track:3kk66lcmo2blwB1uLHMkPJ,1992,0.786,0.396,0.233,0.376,193.5,0.000912
2568,Pleasure, The Soup Dragons,spotify:track:3NV4AZ9aBiQMCIMZmK3jur,1992,0.606,0.864,0.0116,0.942,121.049,0
